Validation_Set,Topics,Alpha,Beta,Coherence
100% corpus,10,0.01,0.61,0.465796641601725
100% corpus,12,symmetric,0.91,0.461225742797562
100% corpus,10,symmetric,0.61,0.460171303796433
100% corpus,12,0.31,0.91,0.455303561833619
100% corpus,12,0.01,0.91,0.445618124609063
100% corpus,14,0.31,0.91,0.439246795012702
100% corpus,12,symmetric,0.61,0.433731604485109
100% corpus,12,0.31,0.61,0.42972324093805
100% corpus,12,0.01,0.61,0.429636545557842
100% corpus,14,0.91,0.91,0.426073959222705
100% corpus,8,0.01,0.31,0.424569678312867
100% corpus,8,asymmetric,0.91,0.423983713011102
100% corpus,14,0.01,0.91,0.422593257231509
100% corpus,10,0.01,0.31,0.420224651435082
100% corpus,14,0.61,0.91,0.41830215896679
100% corpus,10,0.31,0.91,0.416981314861695
100% corpus,14,0.91,0.31,0.416577063151621
100% corpus,6,0.61,0.61,0.415406098558451
100% corpus,6,0.91,symmetric,0.413677919914177
100% corpus,10,symmetric,0.91,0.412359055988904
100% corpus,6,0.01,0.61,0.412352416228122
100% corpus,10,asymmetric,0.91,0.412213537178649
100% corpus,14,symmetric,0.91,0.411985050754796
100% corpus,12,symmetric,0.31,0.411914576191095
100% corpus,12,asymmetric,0.61,0.411689603983188
100% corpus,8,0.91,0.61,0.411604587750832
100% corpus,10,0.01,0.91,0.411553541583252
100% corpus,6,0.61,0.31,0.411538943887613
100% corpus,14,asymmetric,0.91,0.411149322963238
100% corpus,10,0.31,0.31,0.409259663411776
100% corpus,8,symmetric,0.91,0.408851932640856
100% corpus,12,0.61,0.61,0.406998974830478
100% corpus,6,symmetric,0.61,0.406768810146201
100% corpus,4,0.61,0.91,0.406459731419861
100% corpus,10,0.91,0.91,0.406266169918972
100% corpus,4,0.01,0.91,0.406010783812942
100% corpus,10,0.91,symmetric,0.405622110928712
100% corpus,14,0.91,symmetric,0.405587962820786
100% corpus,10,asymmetric,0.61,0.404941695074334
100% corpus,14,0.01,0.31,0.404720517564327
100% corpus,12,asymmetric,0.91,0.404656738930866
100% corpus,8,symmetric,0.61,0.404225894449134
100% corpus,8,0.91,0.91,0.404192334604688
100% corpus,10,asymmetric,0.31,0.403769447013481
100% corpus,6,0.01,0.91,0.40373780534384
100% corpus,6,asymmetric,0.61,0.403578299434804
100% corpus,10,0.91,0.61,0.402917738155212
100% corpus,14,asymmetric,0.31,0.40284250133065
100% corpus,8,asymmetric,symmetric,0.402507666531813
100% corpus,6,0.61,0.91,0.402466950661556
100% corpus,14,0.61,0.61,0.402362317272619
100% corpus,6,asymmetric,0.91,0.401818178285824
100% corpus,12,0.31,0.31,0.401518034612903
100% corpus,10,0.31,0.61,0.400691236896972
100% corpus,12,0.91,symmetric,0.400546497063081
100% corpus,8,symmetric,0.31,0.400297583198558
100% corpus,8,0.01,0.61,0.399801394086453
100% corpus,14,0.31,0.61,0.399018588339258
100% corpus,6,0.31,0.91,0.398957313375031
100% corpus,10,symmetric,0.31,0.398691725609028
100% corpus,10,0.61,symmetric,0.398638306116159
100% corpus,12,0.61,0.91,0.398319503764983
100% corpus,10,0.61,0.31,0.397480291076669
100% corpus,4,0.91,0.61,0.396018092201524
100% corpus,14,0.61,0.31,0.395987208500993
100% corpus,4,0.61,0.61,0.395954449778311
100% corpus,12,0.01,0.31,0.395881073346954
100% corpus,12,0.91,0.31,0.395708261407079
100% corpus,8,asymmetric,0.61,0.395688842736733
100% corpus,8,0.91,symmetric,0.39566305993818
100% corpus,6,0.61,symmetric,0.395578474214718
100% corpus,14,symmetric,0.31,0.394898660500973
100% corpus,14,symmetric,symmetric,0.394526794702153
100% corpus,6,0.91,0.91,0.394100379881527
100% corpus,10,0.91,0.31,0.39285103849512
100% corpus,14,0.01,0.61,0.392756160465733
100% corpus,6,0.31,0.61,0.392722063075089
100% corpus,10,0.61,0.61,0.392662929547614
100% corpus,10,0.61,0.91,0.39238101265323
100% corpus,6,0.01,0.31,0.392214985035939
100% corpus,8,0.61,0.61,0.392144803130123
100% corpus,4,0.91,symmetric,0.391778668758758
100% corpus,14,0.01,symmetric,0.391479799846364
100% corpus,8,0.61,symmetric,0.39146472468486
100% corpus,4,0.01,0.61,0.391249520074499
100% corpus,10,0.31,symmetric,0.39095112480433
100% corpus,10,0.61,0.01,0.390509802865423
100% corpus,8,symmetric,symmetric,0.390122850055615
100% corpus,12,0.91,0.61,0.390080883454276
100% corpus,4,0.91,0.31,0.389316009369399
100% corpus,14,0.61,symmetric,0.388736060112069
100% corpus,12,0.31,symmetric,0.387714415805925
100% corpus,8,0.01,0.91,0.387092620055246
100% corpus,12,0.91,0.91,0.386085230471008
100% corpus,10,0.01,symmetric,0.385929054461223
100% corpus,6,0.91,0.31,0.385571708929721
100% corpus,10,asymmetric,symmetric,0.385435374201584
100% corpus,6,0.61,0.01,0.385359598434255
100% corpus,12,asymmetric,symmetric,0.384863061682704
100% corpus,6,symmetric,0.91,0.384544820943791
100% corpus,14,0.31,symmetric,0.384011089005788
100% corpus,14,symmetric,0.61,0.382889021755643
100% corpus,12,0.61,0.01,0.382607727674772
100% corpus,8,asymmetric,0.31,0.382541353546934
100% corpus,8,0.61,0.31,0.382465512700609
100% corpus,14,0.31,0.31,0.382211678258383
100% corpus,6,symmetric,0.31,0.382051633227616
100% corpus,14,asymmetric,symmetric,0.381945649952613
100% corpus,10,symmetric,symmetric,0.381261093871739
100% corpus,4,0.01,0.31,0.380721583298925
100% corpus,4,0.91,0.91,0.380185468539323
100% corpus,8,0.61,0.91,0.380055718881277
100% corpus,4,0.61,0.31,0.37773634530163
100% corpus,12,0.61,0.31,0.377420692677095
100% corpus,14,asymmetric,0.61,0.37685361962478
100% corpus,8,0.31,0.61,0.376488081333094
100% corpus,4,symmetric,0.61,0.37582794415186
100% corpus,8,0.31,0.31,0.37536634160918
100% corpus,6,0.91,0.01,0.374244917386088
100% corpus,12,asymmetric,0.31,0.374222782507637
100% corpus,10,0.91,0.01,0.373771669618767
100% corpus,8,0.91,0.31,0.373529094378559
100% corpus,14,0.91,0.01,0.373194993288774
100% corpus,8,0.31,0.91,0.37285384298923
100% corpus,14,0.31,0.01,0.372702221528747
100% corpus,12,0.61,symmetric,0.372375121293689
100% corpus,8,0.01,symmetric,0.372165047948237
100% corpus,14,symmetric,0.01,0.371926558909945
100% corpus,14,0.91,0.61,0.36926993584432
100% corpus,14,asymmetric,0.01,0.368891029480571
100% corpus,12,0.91,0.01,0.36828453457335
100% corpus,8,0.31,symmetric,0.368187336621794
100% corpus,4,0.91,0.01,0.367257827850639
100% corpus,14,0.61,0.01,0.366608153004143
100% corpus,12,symmetric,symmetric,0.366117808593063
100% corpus,4,symmetric,0.91,0.365165955071361
100% corpus,10,0.01,0.01,0.360989179619595
100% corpus,10,0.31,0.01,0.360916199131596
100% corpus,6,0.91,0.61,0.360901900150052
100% corpus,8,symmetric,0.01,0.360540616427147
100% corpus,4,0.61,symmetric,0.359702187668969
100% corpus,4,0.31,0.61,0.358733346564013
100% corpus,12,0.31,0.01,0.358576837884702
100% corpus,6,symmetric,symmetric,0.35831748742402
100% corpus,4,0.31,0.91,0.358224374049642
100% corpus,4,asymmetric,0.91,0.358222237976887
100% corpus,12,symmetric,0.01,0.358112106508405
100% corpus,8,0.61,0.01,0.358070549660882
100% corpus,4,0.31,0.31,0.355986343466505
100% corpus,12,0.01,symmetric,0.354802195379464
100% corpus,10,symmetric,0.01,0.35456005178157
100% corpus,8,0.91,0.01,0.35382605965494
100% corpus,4,symmetric,0.31,0.353761550422795
100% corpus,10,asymmetric,0.01,0.353461687686966
100% corpus,8,0.31,0.01,0.353203304725676
100% corpus,4,asymmetric,0.61,0.353156375435899
100% corpus,12,asymmetric,0.01,0.352447671293909
100% corpus,6,0.31,0.31,0.351559759554874
100% corpus,6,asymmetric,0.31,0.351387549609419
100% corpus,8,asymmetric,0.01,0.351374001699756
100% corpus,4,0.01,symmetric,0.351150619890798
100% corpus,4,symmetric,0.01,0.348922494823573
100% corpus,8,0.01,0.01,0.348889509773489
100% corpus,4,asymmetric,0.31,0.348472164735058
100% corpus,4,symmetric,symmetric,0.345491608546931
100% corpus,4,asymmetric,symmetric,0.344961666697136
100% corpus,6,0.01,symmetric,0.344901523053881
100% corpus,4,0.61,0.01,0.342380395703191
100% corpus,4,0.31,symmetric,0.341350489092972
100% corpus,4,0.31,0.01,0.338708015522077
100% corpus,6,0.31,0.01,0.335462301068795
100% corpus,14,0.01,0.01,0.334228899800282
100% corpus,12,0.01,0.01,0.329047182150851
100% corpus,4,0.01,0.01,0.323561216168969
100% corpus,2,0.61,0.31,0.32314005728161
100% corpus,2,0.91,0.31,0.32314005728161
