Validation_Set,Topics,Alpha,Beta,Coherence
100% corpus,2,0.01,0.01,0.280556406873536
100% corpus,2,0.01,0.31,0.29983506407846083
100% corpus,2,0.01,0.61,0.3009689353611794
100% corpus,2,0.01,0.9099999999999999,0.3009689353611794
100% corpus,2,0.01,symmetric,0.2975513455121812
100% corpus,2,0.31,0.01,0.3004910857089724
100% corpus,2,0.31,0.31,0.2992224884359529
100% corpus,2,0.31,0.61,0.3009689353611794
100% corpus,2,0.31,0.9099999999999999,0.3009689353611794
100% corpus,2,0.31,symmetric,0.30096893536117936
100% corpus,2,0.61,0.01,0.31514779794819425
100% corpus,2,0.61,0.31,0.32314005728161044
100% corpus,2,0.61,0.61,0.3204428776876377
100% corpus,2,0.61,0.9099999999999999,0.32044287768763763
100% corpus,2,0.61,symmetric,0.3204428776876377
100% corpus,2,0.9099999999999999,0.01,0.31514779794819425
100% corpus,2,0.9099999999999999,0.31,0.32314005728161044
100% corpus,2,0.9099999999999999,0.61,0.32044287768763763
100% corpus,2,0.9099999999999999,0.9099999999999999,0.32071655759364215
100% corpus,2,0.9099999999999999,symmetric,0.3204428776876377
100% corpus,2,symmetric,0.01,0.31514779794819425
100% corpus,2,symmetric,0.31,0.32044287768763763
100% corpus,2,symmetric,0.61,0.3204428776876377
100% corpus,2,symmetric,0.9099999999999999,0.32044287768763763
100% corpus,2,symmetric,symmetric,0.3204428776876377
100% corpus,2,asymmetric,0.01,0.3082938755155637
100% corpus,2,asymmetric,0.31,0.30354575165881703
100% corpus,2,asymmetric,0.61,0.31301181208958706
100% corpus,2,asymmetric,0.9099999999999999,0.3155264399393642
100% corpus,2,asymmetric,symmetric,0.3007352014459655
100% corpus,4,0.01,0.01,0.32356121616896866
100% corpus,4,0.01,0.31,0.3807215832989249
100% corpus,4,0.01,0.61,0.39124952007449865
100% corpus,4,0.01,0.9099999999999999,0.40601078381294237
100% corpus,4,0.01,symmetric,0.35115061989079754
100% corpus,4,0.31,0.01,0.33870801552207686
100% corpus,4,0.31,0.31,0.3559863434665054
100% corpus,4,0.31,0.61,0.3587333465640131
100% corpus,4,0.31,0.9099999999999999,0.35822437404964197
100% corpus,4,0.31,symmetric,0.3413504890929723
100% corpus,4,0.61,0.01,0.34238039570319145
100% corpus,4,0.61,0.31,0.37773634530163025
100% corpus,4,0.61,0.61,0.39595444977831096
100% corpus,4,0.61,0.9099999999999999,0.4064597314198607
100% corpus,4,0.61,symmetric,0.35970218766896894
100% corpus,4,0.9099999999999999,0.01,0.36725782785063915
100% corpus,4,0.9099999999999999,0.31,0.3893160093693986
100% corpus,4,0.9099999999999999,0.61,0.39601809220152373
100% corpus,4,0.9099999999999999,0.9099999999999999,0.380185468539323
100% corpus,4,0.9099999999999999,symmetric,0.39177866875875766
100% corpus,4,symmetric,0.01,0.3489224948235735
100% corpus,4,symmetric,0.31,0.3537615504227946
100% corpus,4,symmetric,0.61,0.37582794415186
100% corpus,4,symmetric,0.9099999999999999,0.3651659550713608
100% corpus,4,symmetric,symmetric,0.3454916085469313
100% corpus,4,asymmetric,0.01,0.3221461349517982
100% corpus,4,asymmetric,0.31,0.34847216473505804
100% corpus,4,asymmetric,0.61,0.35315637543589934
100% corpus,4,asymmetric,0.9099999999999999,0.35822223797688746
100% corpus,4,asymmetric,symmetric,0.3449616666971358
100% corpus,6,0.01,0.01,0.28831893734405895
100% corpus,6,0.01,0.31,0.3922149850359393
100% corpus,6,0.01,0.61,0.4123524162281218
100% corpus,6,0.01,0.9099999999999999,0.40373780534384
100% corpus,6,0.01,symmetric,0.3449015230538808
100% corpus,6,0.31,0.01,0.3354623010687954
100% corpus,6,0.31,0.31,0.35155975955487384
100% corpus,6,0.31,0.61,0.39272206307508917
100% corpus,6,0.31,0.9099999999999999,0.3989573133750311
100% corpus,6,0.31,symmetric,0.3193228479709166
100% corpus,6,0.61,0.01,0.38535959843425543
100% corpus,6,0.61,0.31,0.41153894388761286
100% corpus,6,0.61,0.61,0.41540609855845045
100% corpus,6,0.61,0.9099999999999999,0.4024669506615564
100% corpus,6,0.61,symmetric,0.39557847421471837
100% corpus,6,0.9099999999999999,0.01,0.3742449173860883
100% corpus,6,0.9099999999999999,0.31,0.3855717089297215
100% corpus,6,0.9099999999999999,0.61,0.36090190015005225
100% corpus,6,0.9099999999999999,0.9099999999999999,0.3941003798815271
100% corpus,6,0.9099999999999999,symmetric,0.4136779199141773
100% corpus,6,symmetric,0.01,0.3209920647597235
100% corpus,6,symmetric,0.31,0.3820516332276165
100% corpus,6,symmetric,0.61,0.4067688101462008
100% corpus,6,symmetric,0.9099999999999999,0.38454482094379094
100% corpus,6,symmetric,symmetric,0.3583174874240203
100% corpus,6,asymmetric,0.01,0.3072143086309653
100% corpus,6,asymmetric,0.31,0.3513875496094194
100% corpus,6,asymmetric,0.61,0.4035782994348039
100% corpus,6,asymmetric,0.9099999999999999,0.40181817828582406
100% corpus,6,asymmetric,symmetric,0.31465032578606184
100% corpus,8,0.01,0.01,0.34888950977348887
100% corpus,8,0.01,0.31,0.4245696783128668
100% corpus,8,0.01,0.61,0.3998013940864531
100% corpus,8,0.01,0.9099999999999999,0.38709262005524575
100% corpus,8,0.01,symmetric,0.3721650479482374
100% corpus,8,0.31,0.01,0.3532033047256763
100% corpus,8,0.31,0.31,0.3753663416091799
100% corpus,8,0.31,0.61,0.3764880813330944
100% corpus,8,0.31,0.9099999999999999,0.3728538429892305
100% corpus,8,0.31,symmetric,0.36818733662179426
100% corpus,8,0.61,0.01,0.35807054966088203
100% corpus,8,0.61,0.31,0.3824655127006089
100% corpus,8,0.61,0.61,0.3921448031301234
100% corpus,8,0.61,0.9099999999999999,0.3800557188812771
100% corpus,8,0.61,symmetric,0.3914647246848596
100% corpus,8,0.9099999999999999,0.01,0.3538260596549402
100% corpus,8,0.9099999999999999,0.31,0.3735290943785594
