Validation_Set,Topics,Alpha,Beta,Coherence
100% corpus,12,0.01,0.91,0.813798680967786
100% corpus,12,symmetric,0.91,0.749547106336484
100% corpus,8,symmetric,0.91,0.743810915598121
100% corpus,10,symmetric,0.91,0.70745310199973
100% corpus,12,0.31,0.91,0.694565452434133
100% corpus,10,0.31,0.91,0.669480588172048
100% corpus,12,symmetric,0.61,0.661230458592851
100% corpus,8,asymmetric,0.91,0.660436354706411
100% corpus,8,asymmetric,0.61,0.639367691754571
100% corpus,10,symmetric,0.61,0.63123395019433
100% corpus,10,asymmetric,0.91,0.62392556365483
100% corpus,8,0.01,0.91,0.622688479422031
100% corpus,12,0.31,0.61,0.621071431504066
100% corpus,12,asymmetric,0.91,0.619673727565526
100% corpus,10,0.01,0.91,0.617969378719999
100% corpus,6,0.01,0.91,0.601887789059063
100% corpus,10,asymmetric,0.61,0.601109641023965
100% corpus,12,asymmetric,0.61,0.594792415896815
100% corpus,12,0.61,0.31,0.593488025939823
100% corpus,6,symmetric,0.91,0.590526558165573
100% corpus,10,0.31,0.61,0.586561413204851
100% corpus,8,symmetric,0.61,0.582471981087077
100% corpus,8,0.01,0.61,0.571261979221307
100% corpus,8,0.61,0.61,0.567811064228055
100% corpus,12,0.01,0.61,0.561060606062418
100% corpus,8,0.31,0.91,0.559407095573126
100% corpus,6,asymmetric,0.91,0.559236082902433
100% corpus,4,asymmetric,0.61,0.557370314506999
100% corpus,10,asymmetric,0.31,0.548347167817306
100% corpus,10,0.01,0.61,0.543435655843616
100% corpus,10,0.61,0.31,0.535358795753173
100% corpus,6,0.31,0.91,0.533061908274541
100% corpus,6,asymmetric,symmetric,0.532854664475128
100% corpus,10,0.61,0.61,0.531742978947805
100% corpus,8,0.31,0.61,0.529548041624735
100% corpus,4,asymmetric,0.91,0.528931548303574
100% corpus,8,asymmetric,0.31,0.526396567600643
100% corpus,6,asymmetric,0.61,0.523579126961589
100% corpus,8,0.61,0.31,0.520131326688519
100% corpus,12,asymmetric,0.31,0.517701757814278
100% corpus,4,symmetric,0.91,0.517407526220628
100% corpus,12,0.61,0.61,0.507673472657084
100% corpus,6,0.01,0.61,0.497858159212053
100% corpus,10,0.61,symmetric,0.493141167972596
100% corpus,6,0.61,0.91,0.487802380225987
100% corpus,12,0.01,0.31,0.48507993768315
100% corpus,12,symmetric,0.31,0.481534830080115
100% corpus,8,0.91,0.31,0.479913308057907
100% corpus,6,asymmetric,0.31,0.479222669117739
100% corpus,10,0.61,0.91,0.476384341847359
100% corpus,8,0.01,0.31,0.474689616817148
100% corpus,4,asymmetric,0.31,0.474535747938909
100% corpus,10,0.01,0.31,0.473560792127115
100% corpus,12,asymmetric,0.01,0.47345428277858
100% corpus,6,0.91,symmetric,0.466779954306775
100% corpus,12,0.91,symmetric,0.463643956598941
100% corpus,4,0.01,0.61,0.462668549403529
100% corpus,10,0.91,symmetric,0.460803203976863
100% corpus,12,0.61,symmetric,0.460674880859601
100% corpus,8,0.91,0.61,0.458118508118803
100% corpus,12,asymmetric,symmetric,0.455526940425937
100% corpus,6,0.01,symmetric,0.455320616863793
100% corpus,8,0.61,0.91,0.452980273422097
100% corpus,10,symmetric,symmetric,0.45178410890793
100% corpus,4,asymmetric,symmetric,0.45176203326401
100% corpus,12,symmetric,symmetric,0.451740231848947
100% corpus,6,asymmetric,0.01,0.451334085230475
100% corpus,12,symmetric,0.01,0.450731398978605
100% corpus,8,0.61,symmetric,0.449394657263474
100% corpus,6,0.31,symmetric,0.44873711473698
100% corpus,10,asymmetric,symmetric,0.447353016342017
100% corpus,8,0.91,symmetric,0.447062263952709
100% corpus,4,0.31,symmetric,0.446934459866118
100% corpus,12,0.01,0.01,0.445324407992084
100% corpus,8,asymmetric,0.01,0.444686679547439
100% corpus,12,0.91,0.01,0.440086085830882
100% corpus,4,0.91,symmetric,0.439648867551469
100% corpus,6,0.01,0.01,0.439343838685175
100% corpus,4,0.31,0.31,0.436830343092363
100% corpus,4,0.91,0.61,0.434653007597574
100% corpus,6,0.91,0.31,0.433706645143575
100% corpus,10,0.31,symmetric,0.433358094718386
100% corpus,4,0.61,symmetric,0.431919721604929
100% corpus,4,0.61,0.91,0.430454206164198
100% corpus,6,0.61,symmetric,0.429298332605473
100% corpus,8,0.01,0.01,0.429161136978788
100% corpus,6,0.91,0.61,0.427678578949483
100% corpus,10,asymmetric,0.01,0.426688836228939
100% corpus,4,0.01,0.01,0.424488653611139
100% corpus,10,0.91,0.31,0.424049208617581
100% corpus,4,symmetric,symmetric,0.423006584460403
100% corpus,4,0.91,0.31,0.422327133955876
100% corpus,6,0.61,0.61,0.421543272605279
100% corpus,6,symmetric,0.61,0.420039549841548
100% corpus,10,symmetric,0.01,0.41504204693115
100% corpus,12,0.91,0.31,0.414404561019448
100% corpus,4,0.61,0.31,0.414252744455991
100% corpus,10,0.01,0.01,0.414142436567841
100% corpus,6,symmetric,0.01,0.413634473493789
100% corpus,10,symmetric,0.31,0.413384797595814
100% corpus,6,0.91,0.91,0.413041976574237
100% corpus,8,symmetric,symmetric,0.413004497334609
100% corpus,12,0.61,0.01,0.411523094569445
100% corpus,12,0.01,symmetric,0.411182213221429
100% corpus,6,symmetric,symmetric,0.407266373511112
100% corpus,8,0.31,symmetric,0.406250900162721
100% corpus,10,0.91,0.01,0.405704735974707
100% corpus,4,symmetric,0.01,0.404312953088127
100% corpus,4,asymmetric,0.01,0.402554544765042
100% corpus,4,0.91,0.91,0.399490002357054
100% corpus,6,0.31,0.61,0.398638872175993
100% corpus,12,0.31,0.31,0.39266512986084
100% corpus,6,0.01,0.31,0.390247009233874
100% corpus,10,0.31,0.01,0.382620820210297
100% corpus,6,0.31,0.31,0.382120139877371
100% corpus,10,0.61,0.01,0.381254533224553
100% corpus,10,0.31,0.31,0.380554658401481
100% corpus,6,0.31,0.01,0.378473572684956
100% corpus,10,0.01,symmetric,0.377860643492841
100% corpus,8,symmetric,0.01,0.374447694196205
100% corpus,8,0.31,0.31,0.373911026642893
100% corpus,4,0.01,symmetric,0.371459646191939
100% corpus,4,0.31,0.01,0.370136635719667
100% corpus,6,0.61,0.31,0.369591502798185
100% corpus,8,0.91,0.01,0.368637309839139
100% corpus,4,0.01,0.31,0.367870281350896
100% corpus,6,symmetric,0.31,0.366385237042926
100% corpus,8,0.31,0.01,0.366370659553424
100% corpus,12,0.31,symmetric,0.364087120543298
100% corpus,4,symmetric,0.31,0.362378343436422
100% corpus,4,0.01,0.91,0.361715574772034
100% corpus,8,0.01,symmetric,0.360270444542661
100% corpus,8,symmetric,0.31,0.359736315348742
100% corpus,8,0.61,0.01,0.352795937397951
100% corpus,12,0.31,0.01,0.350421015698566
100% corpus,4,0.61,0.01,0.347670509851639
100% corpus,6,0.91,0.01,0.344715465175072
100% corpus,4,symmetric,0.61,0.338326060723802
100% corpus,4,0.31,0.91,0.33606746436399
100% corpus,4,0.91,0.01,0.331379557969814
100% corpus,4,0.31,0.61,0.327417430641665
100% corpus,10,0.91,0.61,0.320402994294526
100% corpus,8,asymmetric,symmetric,0.319183635439259
100% corpus,4,0.61,0.61,0.314239688034255
100% corpus,6,0.61,0.01,0.310252141394648
100% corpus,10,0.91,0.91,0.305306133875559
100% corpus,12,0.91,0.91,0.305306133875559
100% corpus,8,0.91,0.91,0.301839716628227
100% corpus,12,0.91,0.61,0.301018613613829
100% corpus,12,0.61,0.91,0.300684244212449
